English, Bahnar
"Shall I count pure those with the wicked scales, And with the bag of deceitful weights?","Inh đei 'long kŏng păng plei kŏng ưh kơ tơpă lăm 'bi, na liơ ih gơh 'lơ̆ng rơgoh?"
"For her rich men are full of violence, Her inhabitants have spoken lies, And their tongue is deceitful in their mouth.","Yua kơ dôm lu bơngai mơdrŏng lăm pơlei âu tă ưh kơ tơpăt ngăl, kon pơlei pơla sư yua nơ̆r hơlĕnh pơdăr păng hơpiĕt lu sư đei tă kơ chă hơlĕnh pơhlŭ pơlung đe."
"“Therefore I will also make you sick by striking you, By making you desolate because of your sins.","Yua kơ thoi noh na Inh teh pơjĭ iĕm pơrăm iĕm yua kơ tơdrong yoch lu iĕm."
"You shall eat, but not be satisfied; Hunger shall be in your midst. You may carry some away, but shall not save them; And what you do rescue I will give over to the sword.","Lu iĕm gô sa, mă-lei ưh kơ phĭ ôh; klak lu iĕm kư̆m oei pơngot. Dôm tơmam mă lu iĕm 'măn mong răk đunh kư̆m ưh kơ gơh dŏng ôh. Tơmam kiơ mă lu iĕm đei 'măn mong Inh gô pơjao kơ đao gưm."
"“You shall sow, but not reap; You shall tread the olives, but not anoint yourselves with oil; And make sweet wine, but not drink wine.","Lu iĕm gô rei mă-lei ưh kơ đei kĕch yuă; iĕm hmĕt đak ôliwơ mă-lei ưh kơ đei tring mong ôh; lu iĕm gô hmĕt chơpĕt đak hơmu mă-lei ưh kơ đei huch đak hơmu noh."
"For the statutes of Omri are kept; All the works of Ahab’s house are done; And you walk in their counsels, That I may make you a desolation, And your inhabitants a hissing. Therefore you shall bear the reproach of My people.”","Yua kơ lu iĕm oei bơwei tơdrong juăt Ômri păng đĭ-đăng tơdrong jang Ahap; lu iĕm yak kiơ̆ lu sư chă đon pơm kơnê̆, Inh gô pơrăm lu iĕm, na ăn kơ kon pơlei pơla lu iĕm đe gô pơjăm, lu iĕm gô pŭ iŏk tơdrong mơlâu đơ̆ng kon pơlei pơla Inh pơjăm."
"Woe is me! For I am like those who gather summer fruits, Like those who glean vintage grapes; There is no cluster to eat Of the first-ripe fruit which my soul desires.","Răm-'băm tơpă kơ inh! Yua kơ ih thoi plei bơyan phang đe phĕ iŏk boih. Thoi plei hơmu đe chă dônh pơpôi đêl đe phĕ boih, ưh kơ đei minh hơie hơmu ayơ wă sa, plei hơra blŭng-a mă jơhngơ̆m inh hơpơi wă kư̆m ưh kơ đei."
"The faithful man has perished from the earth, And there is no one upright among men. They all lie in wait for blood; Every man hunts his brother with a net.","Bơngai hli yom kơ 'Bok Kei-Dei hiong boih đơ̆ng lăm teh đak âu; ưh pă đei bơngai tơpăt lăm kon bơngai. Đĭ-đăng lu sư nŏng kơ 'maih chă pham lĕch sĕch huŏng; rim 'nu iŏk hơnhuăl dăng lua 'nhŏng oh kơdih."
"That they may successfully do evil with both hands— The prince asks for gifts, The judge seeks a bribe, And the great man utters his evil desire; So they scheme together.","Ti lu sư hrăn nŏng kơ pơm kơnê̆. Yŏng pơgơ̆r chă apinh mŭk tơmam, 'bok sek tơlang kư̆m hrăn chă sa pơgâm, gah bơngai pran kơtang 'maih pơm kơnê̆ kiơ̆ kơ jơhngơ̆m kơdih; thoi noh na lu sư pơđâu hơdai."
"The best of them is like a brier; The most upright is sharper than a thorn hedge; The day of your watchman and your punishment comes; Now shall be their perplexity.","Bơngai pơm 'lơ̆ng hloh lăm lu sư thoi jơla bơmrôm, lu bơngai tơpăt hloh kư̆m kơnê̆ hloh kơ dur jơla. Tơdrong lu bơngai gak ih roi năr phak ih truh boih, dang ei tơdrong hơwơ̆l hơwang lu sư truh boih."
"Do not trust in a friend; Do not put your confidence in a companion; Guard the doors of your mouth From her who lies in your bosom.","'Nĕ kơ lui kơ bơngai jê̆ iĕm păng kư̆m 'nĕ gan lui gơnang kơ buăl juăt iĕm; athei kơchăng tơdrong ih wă pơma hăm bơngai drŏ-kăn 'bơ̆t kơtơh ih."
"For son dishonors father, Daughter rises against her mother, Daughter-in-law against her mother-in-law; A man’s enemies are the men of his own household.","Yua kơ kon drŏ-nglo pơm kơnê̆ kơ 'bă sư, kon drŏ-kăn hil blah mĕ sư, mŏ mai ayăt hăm tơnei drŏ-kăn sư. Păng bơngai ayăt lu sư noh jơ̆ lăm hnam dơnŏ lu sư kơdih."
"Therefore I will look to the LORD; I will wait for the God of my salvation; My God will hear me.","Mă-lei gah inh, inh gô lăng Kră Yang, chang gô 'Bok Kei-Dei Tơ'ngla dŏng pơklaih inh; 'Bok Kei-Dei Kră Yang gô mơ̆ng nơ̆r inh."
"Do not rejoice over me, my enemy; When I fall, I will arise; When I sit in darkness, The LORD will be a light to me.","Ơ lu ayăt kơ inh, 'nĕ mah chhôk kơ inh dêh mă khan inh pơ̆k huŏng boih; kư̆m gô iung dơ̆ng; mă khan inh tơoei lăm anih măng mu, 'Bok Kei-Dei gô pơchrang kơ inh hơdah."
"I will bear the indignation of the LORD, Because I have sinned against Him, Until He pleads my case And executes justice for me. He will bring me forth to the light; I will see His righteousness.","Inh pŭ iŏk tơdrong Kră Yang hil yua kơ inh đei pơm yoch boih hăm sư, dĭng truh tơ Sư tơgŭm inh dơ̆ng, sek tơlang tơdrong tơpăt inh, Sư gô chông ba inh truh tơ tơdrong hơdah păng inh gô 'bôh tơdrong tơpăt Sư."
"Then she who is my enemy will see, And shame will cover her who said to me, “Where is the LORD your God?” My eyes will see her; Now she will be trampled down Like mud in the streets.","Lu ayăt kơ inh gô 'bôh tơdrong na lu sư gô mơlâu, sư noh bơngai mă khan kơ inh thoi âu: Tơ yơ Kră Yang 'Bok Kei-Dei ih? Inh gô hiôk măt 'bôh tơdrong truh kơ sư, na 'nâu lu sư đe gô pơjuă bơhlơ̆r thoi teh rơpŭk rok trong."
"In the day when your walls are to be built, In that day the decree shall go far and wide.","Gô đei lăm năr ei kơnh dur iĕm đe gô man pơdơ̆ng ming, lăm năr noh tơdrong pơkă khan gô pơih rai să."
"In that day they shall come to you From Assyria and the fortified cities, From the fortress to the River, From sea to sea, And mountain to mountain.","Lăm năr noh đe gô năm truh tơ iĕm, đơ̆ng Asiri păng đơ̆ng pơlei tih Êyiptơ, đơ̆ng char Êyiptơ truh tơ krong tih Ơphrat, đơ̆ng dơsĭ âu truh tơ dơsĭ to, đơ̆ng kông âu truh tơ kông to."
"Yet the land shall be desolate Because of those who dwell in it, And for the fruit of their deeds.","Mă-lei teh âu gô lê̆ bri juơ yua kơ đe gô pơm 'mong tơwih kơ tơdrong đêl lu kon pơlei oei lăm noh pơm kơnê̆."
"Shepherd Your people with Your staff, The flock of Your heritage, Who dwell solitarily in a woodland, In the midst of Carmel; Let them feed in Bashan and Gilead, As in days of old.","Iŏk 'long jra 'Bok Kei-Dei mơnat kơ bơngai Isơrael wei bĕ kon triu ih, wă khan khŭl triu sem dơrong ih lu oei minh drô̆ lăm bri kông Katmen; ăn bĕ kơ lu sư sa 'nhĕt lăm char Basan păng Gileat, kư̆m thoi ki sơ̆."
"“As in the days when you came out of the land of Egypt, I will show them wonders.”","Inh gô pơdah ăn kơ lu sư dôm tơdrong hlĭch chrơp, kư̆m thoi lu năr mă iĕm lĕch đơ̆ng teh đak Êyiptơ."
"The nations shall see and be ashamed of all their might; They shall put their hand over their mouth; Their ears shall be deaf.","Lu kon bơngai lăm teh đak 'bôh tơdrong noh, gô mơlâu kơ tơdrong pran kơtang lu sư; lu sư gô oei hreh ưh kơ pơ̆n pơma păng đon lu sư jing klĭk."
"They shall lick the dust like a serpent; They shall crawl from their holes like snakes of the earth. They shall be afraid of the LORD our God, And shall fear because of You.","Lu sư gô liah 'mui teh thoi 'bih păng hli tơrơ lĕch đơ̆ng lăm trôm teh lu sư thoi lu sem brem mơmŏ kơpal teh; lu sư gô hli tơrơ na lu sư wih tơ Kră Yang 'Bok Kei-Dei lu bơ̆n, yua kơ ih na lu sư hli tơrơ."
"Who is a God like You, Pardoning iniquity And passing over the transgression of the remnant of His heritage? He does not retain His anger forever, Because He delights in mercy.","Hăm đei bu jing 'Bok Kei-Dei thoi Ih, huay kơ jô̆ yo kơ tơdrong kơnê̆ đe păng huay kơ 'blŏk tơdrong glăi đơ̆ng kon pơlei mă oei oei lăm pơlei Ih, Ih huay kơ oei blĕk khŏm khŏm, yua kơ Ih iŏk tơdrong 'mêm mơnat na hiôk chơt."
"He will again have compassion on us, And will subdue our iniquities. You will cast all our sins Into the depths of the sea.","Sư kư̆m gô oei 'mêm mơnat kơ bơ̆n, kơtĭt lê̆ tơdrong yoch kơnê̆ lu nhôn tơ ala jơ̆ng Ih; păng klơ̆m hŭt lê̆ tơdrong yoch lu nhôn, tơ lăm đak dơsĭ jrŭ sŭng."
"You will give truth to Jacob And mercy to Abraham, Which You have sworn to our fathers From days of old.","Ih gô pơm 'long tơpăt tơ'bôh kơ Jakôp păng 'mêm mơnat kơ Abraham, noh boih mă tơdrong Ih đei pơkăm pơkă hăm lu 'bok yă lu nhôn đơ̆ng năr sơ̆ ki sơ̆ kach."
